address,holding,name,tel_email
"
                            182112,                             Псковская обл., г. Великие Луки ул. Новосокольническая, д. 32                        ","В составе холдинга «КАБОШ, ГК»","
				Слактис, ООО				,			","+7 (81153) 71665,info@slaktis.ru,
                                ,
                                ,
                            "
"
                            423450,                             Татарстан респ, г. Альметьевск, ул. Автомобилистов, д. 13                        ",,"
				Союз-Агро, ООО							",+7 (8553) 304508
"
                            623459,                             Свердловская область, Каменский район, д. Позариха, Механизторов, 13                        ","В составе холдинга «Группа Синара, АО»","
				Каменское, ПАО				,			","+7 (3439) 376239 , +7 (343) 9376135 , +7 (343) 7876126,OAO.Kamenskoe@mail.ru"
"
                            160561,                             Вологодская обл., Вологодский район, пос. Заря, д. 44                        ",,"
				Заря, ОАО (Вологодская обл)							","+7 (817) 2777960 ; 77-79-81,zarya10808@rambler.ru"
"
                            396630,                             Воронежская область, Россошанский район, с. Евстратовка                        ","В составе холдинга « Дон-Агро, ООО/Агрофинансъ»","
				Агрофирма Калитва, ООО				,			","+7 (473) 9651374,ag.kalitva@list.ru"
"
                            614520,                             Пермский край, Пермский район, с. Култаево, ул. Романа Кашина, д. 89                        ",В составе холдинга «АГРОХОЛДИНГ РУСЬ»,"
				Русь, ООО				,			","+7 (342) 2948167,rus.perm@mail.ru"
"
                                                        Тверская область, Конаковский район, с. Верханово                        ","В составе холдинга «Агропромкомплектация, ООО »","
				Верханово, МК (Агрофирма Дмитрова гора, ОАО) 				,			",
"
                            422127,                             Татарстан респ., Кукморский район, с. Олуяз                        ",,"
				Урал, СХПК							","+7 (84364) 39516 ,shpk_ural@mail.ru"
"
                            425222,                             Республика Марий Эл, Медведевский район, с. Кузнецово, ул. мира, 1                        ",,"
				Племзавод Семеновский, ЗАО 							","+7 8362 57-92-40,
                            ,
                        ,semol12@mail.ru"
"
                            658596,                             Алтайский кр, Тюменцевский район, с. Юдиха, ул. Кузнецова, д. 1                        ",,"
				Юдихинский колхоз, СПК							","+7 (38588) 23540 , +7 (385) 1823540"
"
                            142060,                             Московская область, Домодедовский район, деревня Гальчино                        ",В составе холдинга «Коалко-Агро»,"
				Барыбино, ООО ПЗ				,			","+7495996-12-01,
                            ,
                        "
"
                            422122,                              Татарстан респ., Кукморский район, с. Яныль, ул. Татарстан                        ",,"
				Имени Вахитова, СХПК							",+7 (84364) 47146 
"
                            391102,                             Рязанская область, Рыбновский район, с.Вакино, Молодёжная, 16                        ",,"
				Вакинское Агро, ООО							","+7 (499) 647-62-98; +7 (903) 1025888,+7 (903) 7922269 ,
                            ,
                        ,va@vakinoagro.ru"
"
                            690087,                             Приморский край, г. Владивосток, ул. Стрелочная, д. 19                        ",В составе холдинга «PepsiCo/Вимм-Билль-Данн/ВБД/ФРИТО-ЛЕЙ ТРЕЙДИНГ КОМПАНИ ГМБХ»,"
				Владивостокский молочный комбинат, Филиал ОАО ""Вимм Билль Данн""				,			","+7 (423) 2200349 , +7 (423) 2499723,andrukhov@wbd.ru,
                                ,
                                ,
                            "
"
                            397736,                             Воронежская область, Бобровский район, с. Юдановка                        ",,"
				Молочные зори (ЭкоМилк), ООО							","+7 (473) 2505814 , +7 (473) 2505848 , +7 (473) 5058147 , +7 (473) 5058148 , +7 (952) 5533550 , +7 (919) 1844373,ecomilk-gb@bk.ru"
"
                            662217,                             Красноярский край, Назаровский район, пос. Степной, ул. Школьная, д. 15                         ",,"
				Назаровское, ЗАО							","+7 (391) 5593500; +7 (39155) 93331 ,zaonazarovskoe@krasmail.ru"
"
                            188300,                             Ленинградская обл., Гатчинский район, г. Гатчина, ул. 120 Гатчинской дивизии, д. 1                        ","В составе холдинга «Галактика, ГК»","
				Комбинат детского питания, ООО (гатчинский)				,			","+7 (812) 7113201 , +7 (81371) 64877 , +7 (81371) 73541 , +7 (81371) 93201 , +7 (81371) 13201"
"
                            192174,                             Санкт-Петербург, пр. Александровской Фермы, д. 23А                        ","В составе холдинга «PULEVER TRADING LIMITED/Нева милк, ГК»","
				Невские сыры, ООО				,			","8 (812) 305- 35 -55,
                            ,
                        "
"
                            394016,                             Воронежская обл, г. Воронеж, ул. 45 Стрелковой Дивизии, д. 259 ""Б                        ","В составе холдинга «Молвест, АО»","
				Малыш, ООО				,			","+7 (473) 2425285 , +7 (473) 2425297 , +7 (473) 2425271,malysh.67@mail.ru,
                                ,
                                ,
                            ,
                                ,
                                ,
                            ,
                                ,
                                ,
                            ,
                                ,
                                ,
                            ,
                                ,
                                ,
                            ,
                                ,
                                ,
                            "
"
                            613400,                             Кировская обл., Куменский район, пгт. Кумены, ул. Кирова, д. 15                        ","В составе холдинга «Дороничи, АГ»","
				Красное знамя, СПК				,			","+7 (83343) 22387,  +7 (83343) 22397,
                            ,
                        ,kz-agro@yandex.ru"
"
                                                        Краснодарский кр, Усть-Лабинский район, г. Усть-Лабинск, ул. Куйбышева, д. 9                        ","В составе холдинга «Агрохолдинг Кубань, УК (ГК Базовый элемент), (АГРОКУБАНЬ РЕСУРС)»","
				Кубань, ООО Молзавод				,			","+7 (86135) 40940 , +7 (86135) 51165"
"
                            393191,                             Тамбовская обл, г. Котовск, ул. Железнодорожная, д. 2 пом. 2                        ","В составе холдинга «РУСАГРО ГК, ООО»","
				Тамбовский сыровар, ООО				,			",
"
                                                        Воронежская область, Хохольский р-н, рп. Хохольский, ул. 60 лет образования СССР, д. 43                        ","В составе холдинга «Молвест, АО»","
				Хохольский молочный завод, филиал МК Воронежский				,			","(47371) 44-112,
                            ,
                        ,mail@molvest.ru,
                                ,
                                ,
                            ,
                                ,
                                ,
                            "
"
                                                        Московская область, Раменский район, поселок РАОС, д.16                        ",В составе холдинга «HOCHLAND SE»,"
				Хохланд Руссланд, ООО (Hochland Russland)				,			","+7 (495) 7770905 Факс +7 (495) 7770906,
                            ,
                        ,hochland_russland@hochland.com"
"
                            433504,                             Ульяновская обл, г. Димитровград, шоссе Мулловское, д. 7                        ","В составе холдинга «РУСАГРО ГК, ООО»","
				Биотех, ООО				,			","+7 (8422) 250296 , +7 (84235) 61514"
"
                            353181,                             Краснодарский край, Кореновский район, г. Кореновск, пер. Радужный, д. 1                        ","В составе холдинга «Ренна, ГК »","
				Фабрика настоящего мороженого, ООО				,			",+7 (86142) 36011
"
                            115054,                             Москва, набережная Космодамианская, д. 52 стр. 1 этаж 4 пом. II офис 4                        ",В составе холдинга «Nestlé S.A.»,"
				Фронери рус, ООО				,			",
