address,holding,name,tel_email
"
                            182112,                             Псковская обл., г. Великие Луки ул. Новосокольническая, д. 32                        ","В составе холдинга «КАБОШ, ГК»","
				Слактис, ООО				,			","+7 (81153) 71665,info@slaktis.ru,
                                ,
                                ,
                            "
"
                            662217,                             Красноярский край, Назаровский район, пос. Степной, ул. Школьная, д. 15                         ",,"
				Назаровское, ЗАО							","+7 (391) 5593500; +7 (39155) 93331 ,zaonazarovskoe@krasmail.ru"
"
                                                        Белгородская область, Корочанский район, с.Шеино                        ","В составе холдинга «Эфко, ГК»","
				Молочная компания Северский Донец, ООО				,			",+7 (472) 2783129
"
                            391102,                             Рязанская область, Рыбновский район, с.Вакино, Молодёжная, 16                        ",,"
				Вакинское Агро, ООО							","+7 (499) 647-62-98; +7 (903) 1025888,+7 (903) 7922269 ,
                            ,
                        ,va@vakinoagro.ru"
"
                            614520,                             Пермский край, Пермский район, с. Култаево, ул. Романа Кашина, д. 89                        ",В составе холдинга «АГРОХОЛДИНГ РУСЬ»,"
				Русь, ООО				,			","+7 (342) 2948167,rus.perm@mail.ru"
"
                            425222,                             Республика Марий Эл, Медведевский район, с. Кузнецово, ул. мира, 1                        ",,"
				Племзавод Семеновский, ЗАО 							","+7 8362 57-92-40,
                            ,
                        ,semol12@mail.ru"
"
                            613400,                             Кировская обл., Куменский район, пгт. Кумены, ул. Кирова, д. 15                        ","В составе холдинга «Дороничи, АГ»","
				Красное знамя, СПК				,			","+7 (83343) 22387,  +7 (83343) 22397,
                            ,
                        ,kz-agro@yandex.ru"
"
                                                        Тверская область, Конаковский район, с. Верханово                        ","В составе холдинга «Агропромкомплектация, ООО »","
				Верханово, МК (Агрофирма Дмитрова гора, ОАО) 				,			",
"
                                                        Калужская обл., Перемышльский р-н, д.Буковка                        ","В составе холдинга «ЭкоНива - АПК Холдинг, УК»","
				ЖК Буковка (Калужская Нива, ООО)				,			","+7 (484) 2578489 , +7 (484) 4131268 , +7 (48441) 31190 , +7 (48437) 34157"
"
                                                        Калужская обл., Ферзиковский р-н, Аристово                        ","В составе холдинга «ЭкоНива - АПК Холдинг, УК»","
				ЖК Аристово (Калужская Нива, ООО)				,			","+7 (484) 2578489 , +7 (484) 4131268 , +7 (48441) 31190 , +7 (48437) 34157"
"
                            601817,                             Владимирская область, Юрьев-Польский р-н, село Шихобалово                        ",,"
				Шихобалово, СПК							",+7 (492) 4622828
"
                            296300,                              Крым респ., Первомайский район, пгт. Первомайское, ул. Богдана Хмельницкого, д. 11 корп. А кабинет 38                        ","В составе холдинга «Фермер-К, ООО»","
				Крым-Фарминг, ООО				,			","(3652) 60-19-04,a.chirkova@crimea-farming.com.ua"
"
                                                        Воронежская обл., Бобровский р-н, Бобров                        ","В составе холдинга «ЭкоНива - АПК Холдинг, УК»","
				ЖК Бобров (ЭкоНиваАгро, ООО)				,			"," +7 (47391) 98-1-38,agro@ekoniva-apk.com"
